,Date,Integer_Year,Median Bedroom Price,Month,No. of Bedrooms,Year,Zip_Code
0,1997-01-28,2,112900.0,1,1,1997,46220
1,1998-01-28,3,118000.0,1,1,1998,46220
2,1999-01-28,4,122400.0,1,1,1999,46220
3,2000-01-28,5,97772.0,1,1,2000,46220
4,2001-01-28,6,96466.0,1,1,2001,46220
5,2002-01-28,7,100138.0,1,1,2002,46220
6,2003-01-28,8,105618.0,1,1,2003,46220
7,2004-01-28,9,108189.0,1,1,2004,46220
8,2005-01-28,10,110849.0,1,1,2005,46220
9,2006-01-28,11,115648.0,1,1,2006,46220
10,2007-01-28,12,117072.0,1,1,2007,46220
11,2008-01-28,13,117651.0,1,1,2008,46220
12,2009-01-28,14,115945.0,1,1,2009,46220
13,2010-01-28,15,120028.0,1,1,2010,46220
14,2011-01-28,16,109523.0,1,1,2011,46220
15,2012-01-28,17,108035.0,1,1,2012,46220
16,2013-01-28,18,107239.0,1,1,2013,46220
17,2014-01-28,19,125526.0,1,1,2014,46220
18,2015-01-28,20,130720.0,1,1,2015,46220
19,2016-01-28,21,129632.0,1,1,2016,46220
20,2017-01-28,22,140276.0,1,1,2017,46220
21,2018-01-28,23,148395.0,1,1,2018,46220
22,2019-01-28,24,171827.0,1,1,2019,46220
23,1997-01-28,2,116300.0,1,2,1997,46220
24,1998-01-28,3,128600.0,1,2,1998,46220
25,1999-01-28,4,135500.0,1,2,1999,46220
26,2000-01-28,5,123239.0,1,2,2000,46220
27,2001-01-28,6,131068.0,1,2,2001,46220
28,2002-01-28,7,133116.0,1,2,2002,46220
29,2003-01-28,8,138589.0,1,2,2003,46220
30,2004-01-28,9,142203.0,1,2,2004,46220
31,2005-01-28,10,146371.0,1,2,2005,46220
32,2006-01-28,11,150517.0,1,2,2006,46220
33,2007-01-28,12,151164.0,1,2,2007,46220
34,2008-01-28,13,153776.0,1,2,2008,46220
35,2009-01-28,14,148693.0,1,2,2009,46220
36,2010-01-28,15,156472.0,1,2,2010,46220
37,2011-01-28,16,149554.0,1,2,2011,46220
38,2012-01-28,17,145686.0,1,2,2012,46220
39,2013-01-28,18,150360.0,1,2,2013,46220
40,2014-01-28,19,165280.0,1,2,2014,46220
41,2015-01-28,20,167324.0,1,2,2015,46220
42,2016-01-28,21,168624.0,1,2,2016,46220
43,2017-01-28,22,179537.0,1,2,2017,46220
44,2018-01-28,23,190877.0,1,2,2018,46220
45,2019-01-28,24,211965.0,1,2,2019,46220
46,1997-01-28,2,129200.0,1,3,1997,46220
47,1998-01-28,3,151400.0,1,3,1998,46220
48,1999-01-28,4,150300.0,1,3,1999,46220
49,2000-01-28,5,150033.0,1,3,2000,46220
50,2001-01-28,6,151297.0,1,3,2001,46220
51,2002-01-28,7,153871.0,1,3,2002,46220
52,2003-01-28,8,158415.0,1,3,2003,46220
53,2004-01-28,9,164390.0,1,3,2004,46220
54,2005-01-28,10,169358.0,1,3,2005,46220
55,2006-01-28,11,168482.0,1,3,2006,46220
56,2007-01-28,12,170499.0,1,3,2007,46220
57,2008-01-28,13,176298.0,1,3,2008,46220
58,2009-01-28,14,169622.0,1,3,2009,46220
59,2010-01-28,15,177431.0,1,3,2010,46220
60,2011-01-28,16,169190.0,1,3,2011,46220
61,2012-01-28,17,166186.0,1,3,2012,46220
62,2013-01-28,18,171495.0,1,3,2013,46220
63,2014-01-28,19,186571.0,1,3,2014,46220
64,2015-01-28,20,189955.0,1,3,2015,46220
65,2016-01-28,21,191544.0,1,3,2016,46220
66,2017-01-28,22,203287.0,1,3,2017,46220
67,2018-01-28,23,215745.0,1,3,2018,46220
68,2019-01-28,24,238347.0,1,3,2019,46220
69,1997-01-28,2,169400.0,1,4,1997,46220
70,1998-01-28,3,183600.0,1,4,1998,46220
71,1999-01-28,4,196000.0,1,4,1999,46220
72,2000-01-28,5,214475.0,1,4,2000,46220
73,2001-01-28,6,225061.0,1,4,2001,46220
74,2002-01-28,7,224727.0,1,4,2002,46220
75,2003-01-28,8,226501.0,1,4,2003,46220
76,2004-01-28,9,235558.0,1,4,2004,46220
77,2005-01-28,10,244713.0,1,4,2005,46220
78,2006-01-28,11,245555.0,1,4,2006,46220
79,2007-01-28,12,252311.0,1,4,2007,46220
80,2008-01-28,13,256529.0,1,4,2008,46220
81,2009-01-28,14,247280.0,1,4,2009,46220
82,2010-01-28,15,254893.0,1,4,2010,46220
83,2011-01-28,16,239697.0,1,4,2011,46220
84,2012-01-28,17,234245.0,1,4,2012,46220
85,2013-01-28,18,243811.0,1,4,2013,46220
86,2014-01-28,19,267301.0,1,4,2014,46220
87,2015-01-28,20,283035.0,1,4,2015,46220
88,2016-01-28,21,284395.0,1,4,2016,46220
89,2017-01-28,22,293150.0,1,4,2017,46220
90,2018-01-28,23,308852.0,1,4,2018,46220
91,2019-01-28,24,330948.0,1,4,2019,46220
92,1997-01-28,2,251300.0,1,5,1997,46220
93,1998-01-28,3,281300.0,1,5,1998,46220
94,1999-01-28,4,292300.0,1,5,1999,46220
95,2000-01-28,5,258767.0,1,5,2000,46220
96,2001-01-28,6,282407.0,1,5,2001,46220
