,Date,Integer_Year,Median Bedroom Price,Median List Price Calculated,Median List Price per SqFt Calculated,Median Market Value (Single Family),Month,No. of Bedrooms,Year,Zip_Code,Unnamed: 0,Unnamed: 0.1
0,1/31/1997,2,112900,125900.7765,70.8443776,126400,1,1,1997,46220,,
1,1/31/1998,3,118000,141319.0351,66.74227881,151900,1,1,1998,46220,,
2,1/31/1999,4,122400,141325.6325,71.36227618,150600,1,1,1999,46220,,
3,1/31/2000,5,97772,128316.9229,45.60135127,154967,1,1,2000,46220,,
4,1/31/2001,6,96466,132249.9103,54.57331125,155566,1,1,2001,46220,,
5,1/31/2002,7,100138,137066.0456,63.09180334,157666,1,1,2002,46220,,
6,1/31/2003,8,105618,143703.5857,72.02176746,161852,1,1,2003,46220,,
7,1/31/2004,9,108189,150959.0946,79.68781703,167798,1,1,2004,46220,,
8,1/31/2005,10,110849,157637.0733,87.92708113,172555,1,1,2005,46220,,
9,1/31/2006,11,115648,158447.69,93.91690237,171285,1,1,2006,46220,,
10,1/31/2007,12,117072,160871.0049,98.15691532,173447,1,1,2007,46220,,
11,1/31/2008,13,117651,168688.756,107.3930612,178955,1,1,2008,46220,,
12,1/31/2009,14,115945,162833.1399,109.2817996,171996,1,1,2009,46220,,
13,1/31/2010,15,120028,174900,116.9732441,180230,1,1,2010,46220,,
14,1/31/2011,16,109523,169900,121.0585586,171241,1,1,2011,46220,,
15,1/31/2012,17,108035,159900,114.5740158,168633,1,1,2012,46220,,
16,1/31/2013,18,107239,169900,128.6424871,174381,1,1,2013,46220,,
17,1/31/2014,19,125526,164900,124.7838617,190345,1,1,2014,46220,,
18,1/31/2015,20,130720,179900,129.5781732,194772,1,1,2015,46220,,
19,1/31/2016,21,129632,195000,139.7058824,195857,1,1,2016,46220,,
20,1/31/2017,22,140276,199000,153.1808036,206856,1,1,2017,46220,,
21,1/31/2018,23,148395,249950,165.0488547,220147,1,1,2018,46220,,
22,1/31/2019,24,171827,239900,176.4785687,242754,1,1,2019,46220,,
24,1/31/1997,2,116300,125900.7765,70.8443776,126400,1,2,1997,46220,,
25,1/31/1998,3,128600,141319.0351,66.74227881,151900,1,2,1998,46220,,
26,1/31/1999,4,135500,141325.6325,71.36227618,150600,1,2,1999,46220,,
27,1/31/2000,5,123239,128316.9229,45.60135127,154967,1,2,2000,46220,,
28,1/31/2001,6,131068,132249.9103,54.57331125,155566,1,2,2001,46220,,
29,1/31/2002,7,133116,137066.0456,63.09180334,157666,1,2,2002,46220,,
30,1/31/2003,8,138589,143703.5857,72.02176746,161852,1,2,2003,46220,,
31,1/31/2004,9,142203,150959.0946,79.68781703,167798,1,2,2004,46220,,
32,1/31/2005,10,146371,157637.0733,87.92708113,172555,1,2,2005,46220,,
33,1/31/2006,11,150517,158447.69,93.91690237,171285,1,2,2006,46220,,
34,1/31/2007,12,151164,160871.0049,98.15691532,173447,1,2,2007,46220,,
35,1/31/2008,13,153776,168688.756,107.3930612,178955,1,2,2008,46220,,
36,1/31/2009,14,148693,162833.1399,109.2817996,171996,1,2,2009,46220,,
37,1/31/2010,15,156472,174900,116.9732441,180230,1,2,2010,46220,,
38,1/31/2011,16,149554,169900,121.0585586,171241,1,2,2011,46220,,
39,1/31/2012,17,145686,159900,114.5740158,168633,1,2,2012,46220,,
40,1/31/2013,18,150360,169900,128.6424871,174381,1,2,2013,46220,,
41,1/31/2014,19,165280,164900,124.7838617,190345,1,2,2014,46220,,
42,1/31/2015,20,167324,179900,129.5781732,194772,1,2,2015,46220,,
43,1/31/2016,21,168624,195000,139.7058824,195857,1,2,2016,46220,,
44,1/31/2017,22,179537,199000,153.1808036,206856,1,2,2017,46220,,
45,1/31/2018,23,190877,249950,165.0488547,220147,1,2,2018,46220,,
46,1/31/2019,24,211965,239900,176.4785687,242754,1,2,2019,46220,,
48,1/31/1997,2,129200,125900.7765,70.8443776,126400,1,3,1997,46220,,
49,1/31/1998,3,151400,141319.0351,66.74227881,151900,1,3,1998,46220,,
50,1/31/1999,4,150300,141325.6325,71.36227618,150600,1,3,1999,46220,,
51,1/31/2000,5,150033,128316.9229,45.60135127,154967,1,3,2000,46220,,
52,1/31/2001,6,151297,132249.9103,54.57331125,155566,1,3,2001,46220,,
53,1/31/2002,7,153871,137066.0456,63.09180334,157666,1,3,2002,46220,,
54,1/31/2003,8,158415,143703.5857,72.02176746,161852,1,3,2003,46220,,
55,1/31/2004,9,164390,150959.0946,79.68781703,167798,1,3,2004,46220,,
56,1/31/2005,10,169358,157637.0733,87.92708113,172555,1,3,2005,46220,,
57,1/31/2006,11,168482,158447.69,93.91690237,171285,1,3,2006,46220,,
58,1/31/2007,12,170499,160871.0049,98.15691532,173447,1,3,2007,46220,,
59,1/31/2008,13,176298,168688.756,107.3930612,178955,1,3,2008,46220,,
60,1/31/2009,14,169622,162833.1399,109.2817996,171996,1,3,2009,46220,,
61,1/31/2010,15,177431,174900,116.9732441,180230,1,3,2010,46220,,
62,1/31/2011,16,169190,169900,121.0585586,171241,1,3,2011,46220,,
63,1/31/2012,17,166186,159900,114.5740158,168633,1,3,2012,46220,,
64,1/31/2013,18,171495,169900,128.6424871,174381,1,3,2013,46220,,
65,1/31/2014,19,186571,164900,124.7838617,190345,1,3,2014,46220,,
66,1/31/2015,20,189955,179900,129.5781732,194772,1,3,2015,46220,,
67,1/31/2016,21,191544,195000,139.7058824,195857,1,3,2016,46220,,
68,1/31/2017,22,203287,199000,153.1808036,206856,1,3,2017,46220,,
69,1/31/2018,23,215745,249950,165.0488547,220147,1,3,2018,46220,,
70,1/31/2019,24,238347,239900,176.4785687,242754,1,3,2019,46220,,
72,1/31/1997,2,169400,125900.7765,70.8443776,126400,1,4,1997,46220,,
73,1/31/1998,3,183600,141319.0351,66.74227881,151900,1,4,1998,46220,,
74,1/31/1999,4,196000,141325.6325,71.36227618,150600,1,4,1999,46220,,
75,1/31/2000,5,214475,128316.9229,45.60135127,154967,1,4,2000,46220,,
76,1/31/2001,6,225061,132249.9103,54.57331125,155566,1,4,2001,46220,,
77,1/31/2002,7,224727,137066.0456,63.09180334,157666,1,4,2002,46220,,
78,1/31/2003,8,226501,143703.5857,72.02176746,161852,1,4,2003,46220,,
79,1/31/2004,9,235558,150959.0946,79.68781703,167798,1,4,2004,46220,,
80,1/31/2005,10,244713,157637.0733,87.92708113,172555,1,4,2005,46220,,
81,1/31/2006,11,245555,158447.69,93.91690237,171285,1,4,2006,46220,,
82,1/31/2007,12,252311,160871.0049,98.15691532,173447,1,4,2007,46220,,
83,1/31/2008,13,256529,168688.756,107.3930612,178955,1,4,2008,46220,,
