Date,Integer_Year,Median Bedroom Price,Month,No. of Bedrooms,Year,Zip_Code
1/28/1997,2,112900,1,1,1997,46220
1/28/1998,3,118000,1,1,1998,46220
1/28/1999,4,122400,1,1,1999,46220
1/28/2000,5,97772,1,1,2000,46220
1/28/2001,6,96466,1,1,2001,46220
1/28/2002,7,100138,1,1,2002,46220
1/28/2003,8,105618,1,1,2003,46220
1/28/2004,9,108189,1,1,2004,46220
1/28/2005,10,110849,1,1,2005,46220
1/28/2006,11,115648,1,1,2006,46220
1/28/2007,12,117072,1,1,2007,46220
1/28/2008,13,117651,1,1,2008,46220
1/28/2009,14,115945,1,1,2009,46220
1/28/2010,15,120028,1,1,2010,46220
1/28/2011,16,109523,1,1,2011,46220
1/28/2012,17,108035,1,1,2012,46220
1/28/2013,18,107239,1,1,2013,46220
1/28/2014,19,125526,1,1,2014,46220
1/28/2015,20,130720,1,1,2015,46220
1/28/2016,21,129632,1,1,2016,46220
1/28/2017,22,140276,1,1,2017,46220
1/28/2018,23,148395,1,1,2018,46220
1/28/2019,24,171827,1,1,2019,46220
1/28/1997,2,116300,1,2,1997,46220
1/28/1998,3,128600,1,2,1998,46220
1/28/1999,4,135500,1,2,1999,46220
1/28/2000,5,123239,1,2,2000,46220
1/28/2001,6,131068,1,2,2001,46220
1/28/2002,7,133116,1,2,2002,46220
1/28/2003,8,138589,1,2,2003,46220
1/28/2004,9,142203,1,2,2004,46220
1/28/2005,10,146371,1,2,2005,46220
1/28/2006,11,150517,1,2,2006,46220
1/28/2007,12,151164,1,2,2007,46220
1/28/2008,13,153776,1,2,2008,46220
1/28/2009,14,148693,1,2,2009,46220
1/28/2010,15,156472,1,2,2010,46220
1/28/2011,16,149554,1,2,2011,46220
1/28/2012,17,145686,1,2,2012,46220
1/28/2013,18,150360,1,2,2013,46220
1/28/2014,19,165280,1,2,2014,46220
1/28/2015,20,167324,1,2,2015,46220
1/28/2016,21,168624,1,2,2016,46220
1/28/2017,22,179537,1,2,2017,46220
1/28/2018,23,190877,1,2,2018,46220
1/28/2019,24,211965,1,2,2019,46220
1/28/1997,2,129200,1,3,1997,46220
1/28/1998,3,151400,1,3,1998,46220
1/28/1999,4,150300,1,3,1999,46220
1/28/2000,5,150033,1,3,2000,46220
1/28/2001,6,151297,1,3,2001,46220
1/28/2002,7,153871,1,3,2002,46220
1/28/2003,8,158415,1,3,2003,46220
1/28/2004,9,164390,1,3,2004,46220
1/28/2005,10,169358,1,3,2005,46220
1/28/2006,11,168482,1,3,2006,46220
1/28/2007,12,170499,1,3,2007,46220
1/28/2008,13,176298,1,3,2008,46220
1/28/2009,14,169622,1,3,2009,46220
1/28/2010,15,177431,1,3,2010,46220
1/28/2011,16,169190,1,3,2011,46220
1/28/2012,17,166186,1,3,2012,46220
1/28/2013,18,171495,1,3,2013,46220
1/28/2014,19,186571,1,3,2014,46220
1/28/2015,20,189955,1,3,2015,46220
1/28/2016,21,191544,1,3,2016,46220
1/28/2017,22,203287,1,3,2017,46220
1/28/2018,23,215745,1,3,2018,46220
1/28/2019,24,238347,1,3,2019,46220
1/28/1997,2,169400,1,4,1997,46220
1/28/1998,3,183600,1,4,1998,46220
1/28/1999,4,196000,1,4,1999,46220
1/28/2000,5,214475,1,4,2000,46220
1/28/2001,6,225061,1,4,2001,46220
1/28/2002,7,224727,1,4,2002,46220
1/28/2003,8,226501,1,4,2003,46220
1/28/2004,9,235558,1,4,2004,46220
1/28/2005,10,244713,1,4,2005,46220
1/28/2006,11,245555,1,4,2006,46220
1/28/2007,12,252311,1,4,2007,46220
1/28/2008,13,256529,1,4,2008,46220
1/28/2009,14,247280,1,4,2009,46220
1/28/2010,15,254893,1,4,2010,46220
1/28/2011,16,239697,1,4,2011,46220
1/28/2012,17,234245,1,4,2012,46220
1/28/2013,18,243811,1,4,2013,46220
1/28/2014,19,267301,1,4,2014,46220
1/28/2015,20,283035,1,4,2015,46220
1/28/2016,21,284395,1,4,2016,46220
1/28/2017,22,293150,1,4,2017,46220
1/28/2018,23,308852,1,4,2018,46220
1/28/2019,24,330948,1,4,2019,46220
1/28/1997,2,251300,1,5,1997,46220
1/28/1998,3,281300,1,5,1998,46220
1/28/1999,4,292300,1,5,1999,46220
1/28/2000,5,258767,1,5,2000,46220
1/28/2001,6,282407,1,5,2001,46220
1/28/2002,7,278651,1,5,2002,46220
1/28/2003,8,279056,1,5,2003,46220
1/28/2004,9,303457,1,5,2004,46220
1/28/2005,10,316583,1,5,2005,46220
1/28/2006,11,328897,1,5,2006,46220
1/28/2007,12,348092,1,5,2007,46220
1/28/2008,13,351198,1,5,2008,46220
1/28/2009,14,332875,1,5,2009,46220
1/28/2010,15,356349,1,5,2010,46220
1/28/2011,16,335606,1,5,2011,46220
1/28/2012,17,329328,1,5,2012,46220
1/28/2013,18,347394,1,5,2013,46220
1/28/2014,19,381471,1,5,2014,46220
1/28/2015,20,406425,1,5,2015,46220
1/28/2016,21,399398,1,5,2016,46220
1/28/2017,22,408212,1,5,2017,46220
1/28/2018,23,437883,1,5,2018,46220
1/28/2019,24,466430,1,5,2019,46220
1/28/2000,5,59871,1,1,2000,46219
1/28/2001,6,56400,1,1,2001,46219
1/28/2002,7,58844,1,1,2002,46219
1/28/2003,8,58209,1,1,2003,46219
1/28/2004,9,56035,1,1,2004,46219
1/28/2005,10,56957,1,1,2005,46219
1/28/2006,11,63307,1,1,2006,46219
1/28/2007,12,59884,1,1,2007,46219
1/28/2008,13,58073,1,1,2008,46219
1/28/2009,14,57063,1,1,2009,46219
1/28/2010,15,53887,1,1,2010,46219
1/28/2011,16,49741,1,1,2011,46219
1/28/2012,17,42136,1,1,2012,46219
1/28/2013,18,42994,1,1,2013,46219
1/28/2014,19,46478,1,1,2014,46219
1/28/2015,20,50324,1,1,2015,46219
1/28/2016,21,50760,1,1,2016,46219
1/28/2017,22,55647,1,1,2017,46219
1/28/2018,23,61082,1,1,2018,46219
1/28/2019,24,73409,1,1,2019,46219
1/28/1997,2,78600,1,2,1997,46219
1/28/1998,3,75800,1,2,1998,46219
1/28/1999,4,83500,1,2,1999,46219
1/28/2000,5,76201,1,2,2000,46219
1/28/2001,6,72142,1,2,2001,46219
1/28/2002,7,75438,1,2,2002,46219
1/28/2003,8,74959,1,2,2003,46219
1/28/2004,9,75514,1,2,2004,46219
1/28/2005,10,75794,1,2,2005,46219
1/28/2006,11,81252,1,2,2006,46219
1/28/2007,12,80280,1,2,2007,46219
