,Zip_Code,Date,Year,Year_Integer,Month,Median Market Value (Single Family),Median Price 1 Bedroom,Median Price 2 Bedroom,Median Price 3 Bedroom,Median Price 4 Bedroom,Median Price 5 Bedroom,Median List Price per SqFt Calculated,Median List Price Calculated,Zip_Code_Integer
830,46219,1997-02-28,1997,1,2,82100.0,,77300.0,85500.0,115700.0,,88.57510340907949,123215.29912294917,2
842,46219,1998-02-28,1998,2,2,81100.0,,76500.0,83800.0,114800.0,,80.84171588622763,116930.87498671496,2
854,46219,1999-02-28,1999,3,2,89300.0,,83800.0,91700.0,113200.0,,84.64877878026961,123299.57548947816,2
866,46219,2000-02-29,2000,4,2,76556.0,58678.0,74974.0,76901.0,90641.0,,54.97069527510627,97246.47269269737,2
878,46219,2001-02-28,2001,5,2,75694.0,56695.0,72221.0,77167.0,93651.0,112644.0,62.974520294484805,98955.82105862659,2
890,46219,2002-02-28,2002,6,2,79172.0,59023.0,75865.0,80871.0,98862.0,113733.0,67.10535682556645,101962.48466180312,2
902,46219,2003-02-28,2003,7,2,79035.0,58023.0,74817.0,80877.0,97975.0,113406.0,67.33516623069755,100314.99658879815,2
914,46219,2004-02-29,2004,8,2,80822.0,55925.0,74882.0,82724.0,100848.0,114721.0,68.5548389655412,100599.858732327,2
926,46219,2005-02-28,2005,9,2,83853.0,57555.0,77238.0,85759.0,105809.0,119353.0,70.39458336556885,102124.11982147743,2
938,46219,2006-02-28,2006,10,2,88477.0,63196.0,80831.0,90591.0,112890.0,123829.0,75.38356651917648,106416.41050007234,2
950,46219,2007-02-28,2007,11,2,89147.0,59941.0,80371.0,91679.0,117365.0,125735.0,78.67508795379563,106906.41511556519,2
962,46219,2008-02-29,2008,12,2,87312.0,57947.0,79365.0,89683.0,116425.0,123993.0,74.80871255649076,101937.72130411022,2
974,46219,2009-02-28,2009,13,2,82153.0,56349.0,74021.0,84044.0,109688.0,117144.0,65.28227323038718,91650.07467420057,2
986,46219,2010-02-28,2010,14,2,83581.0,53863.0,73523.0,85325.0,111766.0,124093.0,63.982950734711295,89900.0,2
998,46219,2011-02-28,2011,15,2,78331.0,48840.0,65273.0,80987.0,108581.0,119530.0,65.07795083782389,80000.0,2
1010,46219,2012-02-29,2012,16,2,70944.0,42477.0,56483.0,73610.0,98070.0,112301.0,58.406432748537995,73500.0,2
1022,46219,2013-02-28,2013,17,2,73796.0,42628.0,57768.0,76536.0,105382.0,121413.0,63.8286189005975,79900.0,2
1034,46219,2014-02-28,2014,18,2,80626.0,47745.0,64868.0,82717.0,112978.0,131451.0,62.5,83000.0,2
1046,46219,2015-02-28,2015,19,2,83852.0,49743.0,66818.0,86178.0,114700.0,135202.0,65.75621746674379,85000.0,2
1058,46219,2016-02-29,2016,20,2,87131.0,51097.0,69105.0,89418.0,119625.0,137671.0,63.320825515947504,80000.0,2
1070,46219,2017-02-28,2017,21,2,93691.0,56316.0,74219.0,95608.0,126914.0,149325.0,70.09963768115941,89500.0,2
1082,46219,2018-02-28,2018,22,2,102929.0,61069.0,80078.0,105248.0,136226.0,159492.0,79.1666666666667,104900.0,2
1094,46219,2019-02-28,2019,23,2,118420.0,74566.0,94358.0,120420.0,152985.0,177552.0,89.85245228968719,114900.0,2
1106,46219,2020-02-29,2020,24,2,123760.0,79057.0,99008.0,126213.0,159808.0,187055.0,97.24319157479202,120464.85555475194,2
