,Zip_Code,Date,Year,Year_Integer,Month,Median Market Value (Single Family),Median Price 1 Bedroom,Median Price 2 Bedroom,Median Price 3 Bedroom,Median Price 4 Bedroom,Median Price 5 Bedroom,Median List Price per SqFt Calculated,Median List Price Calculated,Zip_Code_Integer.csv
1118,46220,1997-02-28,1997,1,2,127200.0,113100.0,116700.0,129900.0,170400.0,253600.0,99.81337907135845,142629.7348615186,1
1130,46220,1998-02-28,1998,2,2,153100.0,118700.0,130100.0,152700.0,184800.0,283400.0,70.43238912650914,107461.65114801346,1
1142,46220,1999-02-28,1999,3,2,148500.0,122400.0,135000.0,148800.0,196700.0,292300.0,77.74566998461763,116215.40906839361,1
1154,46220,2000-02-29,2000,4,2,155199.0,97118.0,123579.0,150332.0,214622.0,259545.0,12.289483131487756,37866.49491884644,1
1166,46220,2001-02-28,2001,5,2,155226.0,96610.0,130734.0,150903.0,226250.0,285211.0,28.325004660985826,57060.48955951937,1
1178,46220,2002-02-28,2002,6,2,157899.0,100845.0,133570.0,154190.0,224661.0,276490.0,42.3851867775935,73890.06754964664,1
1190,46220,2003-02-28,2003,7,2,162344.0,105594.0,138850.0,158868.0,227260.0,281311.0,56.07323821188051,90274.21728794229,1
1202,46220,2004-02-29,2004,8,2,168134.0,108985.0,143164.0,164647.0,235268.0,302616.0,65.77704988893946,101889.36238820886,1
1214,46220,2005-02-28,2005,9,2,172839.0,110742.0,145583.0,169852.0,246979.0,323149.0,77.53313719956739,115961.0142780703,1
1226,46220,2006-02-28,2006,10,2,171275.0,115724.0,151162.0,168494.0,245111.0,327043.0,87.94823208917599,128427.54211288433,1
1238,46220,2007-02-28,2007,11,2,174046.0,117124.0,151505.0,171024.0,252984.0,349596.0,92.2225292496066,133543.73597281153,1
1250,46220,2008-02-29,2008,12,2,178801.0,118305.0,153861.0,176198.0,256329.0,350506.0,105.77819776473189,149769.42768800937,1
1262,46220,2009-02-28,2009,13,2,170838.0,115305.0,147613.0,168386.0,245439.0,331118.0,110.42182489089355,155327.69743364077,1
1274,46220,2010-02-28,2010,14,2,180993.0,119586.0,157132.0,178294.0,255859.0,358230.0,118.57707509881399,169900.0,1
1286,46220,2011-02-28,2011,15,2,171245.0,109574.0,149757.0,169133.0,239331.0,335102.0,124.289520426288,169900.0,1
1298,46220,2012-02-29,2012,16,2,167811.0,107616.0,144907.0,165423.0,233343.0,328421.0,117.760942760943,166900.0,1
1310,46220,2013-02-28,2013,17,2,175773.0,107557.0,151492.0,172788.0,245519.0,350063.0,128.022317087733,169900.0,1
1322,46220,2014-02-28,2014,18,2,192810.0,128095.0,167050.0,188919.0,271547.0,386538.0,122.64361405465701,164900.0,1
1334,46220,2015-02-28,2015,19,2,193145.0,129718.0,166136.0,188285.0,280769.0,403392.0,133.541909024178,183000.0,1
1346,46220,2016-02-29,2016,20,2,197263.0,130547.0,169949.0,193069.0,286053.0,402103.0,135.530162104704,196500.0,1
1358,46220,2017-02-28,2017,21,2,207777.0,141379.0,180420.0,204098.0,294602.0,409975.0,157.48523519924498,202450.0,1
1370,46220,2018-02-28,2018,22,2,220574.0,148337.0,191195.0,216358.0,308884.0,437098.0,179.489291598023,234650.0,1
1382,46220,2019-02-28,2019,23,2,243849.0,172462.0,212947.0,239502.0,331767.0,468170.0,179.200940070505,239700.0,1
1394,46220,2020-02-29,2020,24,2,248645.0,174423.0,217182.0,245442.0,340957.0,478611.0,206.8254411252754,270719.6720532609,1
