,Date,Year,Integer_Year,Month,Zip_Code,Zip_Code_Integer,Median Bedroom Price,Median Market Value (Single Family),Median List Price per SqFt Calculated,Median List Price Calculated,No. of Bedrooms
4,2001-02-28,2001,6,2,46227,3,141957.0,93984.0,74.57205527890584,77357.40514916621,5
5,2002-02-28,2002,7,2,46227,3,141183.0,97126.0,76.22788165378644,80322.47541794491,5
6,2003-02-28,2003,8,2,46227,3,141980.0,97345.0,76.45897405716852,78705.65205632568,5
7,2004-02-29,2004,9,2,46227,3,144953.0,99767.0,77.54868990603339,81583.19535204227,5
8,2005-02-28,2005,10,2,46227,3,152799.0,105419.0,79.4282352056115,93319.91522294613,5
9,2006-02-28,2006,11,2,46227,3,158578.0,112222.0,82.49871089571583,103813.02250947396,5
10,2007-02-28,2007,12,2,46227,3,162747.0,114579.0,83.06247327692631,108980.231623302,5
11,2008-02-29,2008,13,2,46227,3,159591.0,113697.0,82.11010425116152,108767.1792088916,5
12,2009-02-28,2009,14,2,46227,3,159120.0,108334.0,77.89913039434536,106728.88547065084,5
13,2010-02-28,2010,15,2,46227,3,162016.0,113300.0,79.7026650446803,115000.0,5
14,2011-02-28,2011,16,2,46227,3,153175.0,106482.0,76.1396026972845,108700.0,5
15,2012-02-29,2012,17,2,46227,3,145293.0,103605.0,72.7915135043537,109900.0,5
16,2013-02-28,2013,18,2,46227,3,150398.0,106083.0,76.53061224489801,109888.0,5
17,2014-02-28,2014,19,2,46227,3,158568.0,115206.0,79.7202797202797,110000.0,5
18,2015-02-28,2015,20,2,46227,3,164955.0,118502.0,81.943645773433,119200.0,5
19,2016-02-29,2016,21,2,46227,3,166094.0,122314.0,82.5,120000.0,5
20,2017-02-28,2017,22,2,46227,3,172768.0,128112.0,87.7145085803432,129900.0,5
21,2018-02-28,2018,23,2,46227,3,184047.0,139410.0,102.368211682579,136100.0,5
22,2019-02-28,2019,24,2,46227,3,200519.0,154350.0,104.166666666667,150000.0,5
23,2020-02-29,2020,25,2,46227,3,208877.0,161466.0,107.89440893229215,155245.60576535837,5
0,1997-02-28,1997,2,2,46227,3,123100.0,86600.0,71.42474249303346,69030.46334380512,4
1,1998-02-28,1998,3,2,46227,3,125800.0,91600.0,74.19987969800512,73874.09981459129,4
2,1999-02-28,1999,4,2,46227,3,126000.0,101100.0,78.69014023087722,88085.78350640065,4
3,2000-02-29,2000,5,2,46227,3,120500.0,85081.0,70.45784144823729,63669.990427410674,4
4,2001-02-28,2001,6,2,46227,3,118121.0,93984.0,74.57205527890584,77357.40514916621,4
5,2002-02-28,2002,7,2,46227,3,118264.0,97126.0,76.22788165378644,80322.47541794491,4
6,2003-02-28,2003,8,2,46227,3,118783.0,97345.0,76.45897405716852,78705.65205632568,4
7,2004-02-29,2004,9,2,46227,3,119299.0,99767.0,77.54868990603339,81583.19535204227,4
8,2005-02-28,2005,10,2,46227,3,124961.0,105419.0,79.4282352056115,93319.91522294613,4
9,2006-02-28,2006,11,2,46227,3,133565.0,112222.0,82.49871089571583,103813.02250947396,4
