,Date,% of Homes Decreasing in Value,% of Homes Increasing in Value,% of Listings with Price Reduction,Median % Reduction,Median List Price,Median List Price per Square Foot,Median Market Value (Single Family),Median Price 1 Bedroom,Median Price 2 Bedroom,Median Price 3 Bedroom,Median Price 4 Bedroom,Median Price 5 Bedroom,Sales per Month,Zip_Code,Date.1,Year,Month,Day
0,1996-04-30,,,,,,,93800.0,,86600.0,90600.0,113100.0,,,46107,1996-04-30,1996,04,30
1,1996-05-31,,,,,,,92100.0,,85400.0,89300.0,111900.0,,,46107,1996-05-31,1996,05,31
2,1996-06-30,,,,,,,90300.0,,84100.0,87900.0,110900.0,,,46107,1996-06-30,1996,06,30
3,1996-07-31,,,,,,,88400.0,,82800.0,86500.0,109800.0,,,46107,1996-07-31,1996,07,31
4,1996-08-31,,,,,,,86500.0,,81500.0,85200.0,108800.0,,,46107,1996-08-31,1996,08,31
5,1996-09-30,,,,,,,84700.0,,80300.0,84000.0,107800.0,,,46107,1996-09-30,1996,09,30
6,1996-10-31,,,,,,,83000.0,,79100.0,82900.0,107000.0,,,46107,1996-10-31,1996,10,31
7,1996-11-30,,,,,,,81400.0,,78000.0,81800.0,106200.0,,,46107,1996-11-30,1996,11,30
8,1996-12-31,,,,,,,79900.0,,77000.0,80800.0,105400.0,,,46107,1996-12-31,1996,12,31
9,1997-01-31,,,,,,,78600.0,,76100.0,79800.0,104600.0,,,46107,1997-01-31,1997,01,31
10,1997-02-28,,,,,,,77500.0,,75300.0,79000.0,104000.0,,,46107,1997-02-28,1997,02,28
11,1997-03-31,,,,,,,76500.0,,74600.0,78400.0,103400.0,,,46107,1997-03-31,1997,03,31
12,1997-04-30,,,,,,,75600.0,,74000.0,77800.0,102900.0,,,46107,1997-04-30,1997,04,30
13,1997-05-31,,,,,,,74900.0,,73500.0,77300.0,102600.0,,,46107,1997-05-31,1997,05,31
14,1997-06-30,,,,,,,74300.0,,73000.0,76900.0,102200.0,,,46107,1997-06-30,1997,06,30
15,1997-07-31,,,,,,,73800.0,,72600.0,76700.0,102000.0,,,46107,1997-07-31,1997,07,31
16,1997-08-31,,,,,,,73600.0,,72300.0,76600.0,101800.0,,,46107,1997-08-31,1997,08,31
17,1997-09-30,,,,,,,73600.0,,72100.0,76600.0,101800.0,,,46107,1997-09-30,1997,09,30
18,1997-10-31,,,,,,,73700.0,,72000.0,76700.0,101800.0,,,46107,1997-10-31,1997,10,31
19,1997-11-30,,,,,,,74100.0,,72000.0,77000.0,102000.0,,,46107,1997-11-30,1997,11,30
20,1997-12-31,,,,,,,74600.0,,72200.0,77300.0,102100.0,,,46107,1997-12-31,1997,12,31
21,1998-01-31,,,,,,,75300.0,,72400.0,77700.0,102100.0,,,46107,1998-01-31,1998,01,31
22,1998-02-28,,,,,,,76000.0,,72700.0,78200.0,102200.0,,,46107,1998-02-28,1998,02,28
23,1998-03-31,,,,,,,76900.0,,73100.0,78700.0,102400.0,,,46107,1998-03-31,1998,03,31
24,1998-04-30,,,,,,,77900.0,,73500.0,79200.0,102500.0,,,46107,1998-04-30,1998,04,30
25,1998-05-31,,,,,,,78900.0,,73900.0,79800.0,102700.0,,,46107,1998-05-31,1998,05,31
26,1998-06-30,,,,,,,79900.0,,74300.0,80300.0,102900.0,,,46107,1998-06-30,1998,06,30
27,1998-07-31,,,,,,,80900.0,,74700.0,80900.0,103100.0,,,46107,1998-07-31,1998,07,31
28,1998-08-31,,,,,,,81900.0,,75100.0,81500.0,103100.0,,,46107,1998-08-31,1998,08,31
29,1998-09-30,,,,,,,82800.0,,75400.0,82000.0,103200.0,,,46107,1998-09-30,1998,09,30
30,1998-10-31,,,,,,,83500.0,,75700.0,82500.0,103100.0,,,46107,1998-10-31,1998,10,31
31,1998-11-30,,,,,,,84200.0,,76100.0,83000.0,103000.0,,,46107,1998-11-30,1998,11,30
32,1998-12-31,,,,,,,84600.0,,76400.0,83400.0,102700.0,,,46107,1998-12-31,1998,12,31
33,1999-01-31,,,,,,,84900.0,,76600.0,83700.0,102400.0,,,46107,1999-01-31,1999,01,31
34,1999-02-28,,,,,,,85100.0,,76900.0,84000.0,101900.0,,,46107,1999-02-28,1999,02,28
35,1999-03-31,,,,,,,85000.0,,77100.0,84200.0,101500.0,,,46107,1999-03-31,1999,03,31
36,1999-04-30,,,,,,,85000.0,,77300.0,84300.0,101000.0,,,46107,1999-04-30,1999,04,30
37,1999-05-31,,,,,,,84800.0,,77300.0,84300.0,100600.0,,,46107,1999-05-31,1999,05,31
38,1999-06-30,,,,,,,84500.0,,77400.0,84300.0,100200.0,,,46107,1999-06-30,1999,06,30
39,1999-07-31,,,,,,,84200.0,,77300.0,84300.0,106358.0,116897.0,,46107,1999-07-31,1999,07,31
40,1999-08-31,,,,,,,84000.0,,77300.0,84300.0,104361.0,114931.0,,46107,1999-08-31,1999,08,31
41,1999-09-30,,,,,,,84946.0,,77200.0,84460.0,103420.0,113965.0,,46107,1999-09-30,1999,09,30
42,1999-10-31,,,,,,,85014.0,,77000.0,84414.0,100868.0,111451.0,,46107,1999-10-31,1999,10,31
43,1999-11-30,,,,,,,84445.0,,77000.0,83594.0,98825.0,109280.0,,46107,1999-11-30,1999,11,30
44,1999-12-31,,,,,,,83625.0,,76900.0,82510.0,96695.0,106349.0,,46107,1999-12-31,1999,12,31
45,2000-01-31,,,,,,,82546.0,,76900.0,81172.0,95362.0,103709.0,,46107,2000-01-31,2000,01,31
46,2000-02-29,,,,,,,81998.0,,76900.0,80455.0,94794.0,101603.0,,46107,2000-02-29,2000,02,29
47,2000-03-31,,,,,,,81435.0,68405.0,71445.0,79542.0,94286.0,100284.0,,46107,2000-03-31,2000,03,31
48,2000-04-30,,,,,,,81057.0,68230.0,71312.0,78894.0,94022.0,99419.0,,46107,2000-04-30,2000,04,30
49,2000-05-31,,,,,,,80993.0,68474.0,71303.0,78640.0,94014.0,98696.0,,46107,2000-05-31,2000,05,31
50,2000-06-30,,,,,,,81168.0,68790.0,71237.0,78781.0,94450.0,98338.0,,46107,2000-06-30,2000,06,30
51,2000-07-31,,,,,,,81531.0,69457.0,71481.0,79035.0,94826.0,98071.0,,46107,2000-07-31,2000,07,31
52,2000-08-31,,,,,,,81810.0,70030.0,71398.0,79250.0,95882.0,98634.0,,46107,2000-08-31,2000,08,31
53,2000-09-30,,,,,,,82205.0,70676.0,71038.0,79547.0,96422.0,98499.0,,46107,2000-09-30,2000,09,30
54,2000-10-31,,,,,,,82150.0,70850.0,70194.0,79424.0,97260.0,98490.0,,46107,2000-10-31,2000,10,31
55,2000-11-30,,,,,,,82437.0,70879.0,69573.0,79774.0,97633.0,98165.0,,46107,2000-11-30,2000,11,30
56,2000-12-31,,,,,,,82885.0,71009.0,69576.0,80177.0,98567.0,98993.0,,46107,2000-12-31,2000,12,31
57,2001-01-31,,,,,,,83715.0,70945.0,69782.0,80985.0,99128.0,100010.0,,46107,2001-01-31,2001,01,31
58,2001-02-28,,,,,,,83906.0,70904.0,70236.0,81129.0,98954.0,100643.0,,46107,2001-02-28,2001,02,28
59,2001-03-31,,,,,,,84079.0,70437.0,69986.0,81509.0,98918.0,100743.0,,46107,2001-03-31,2001,03,31
60,2001-04-30,,,,,,,84306.0,71040.0,70081.0,81833.0,98435.0,100149.0,,46107,2001-04-30,2001,04,30
61,2001-05-31,,,,,,,84370.0,71065.0,69727.0,81947.0,98384.0,100114.0,,46107,2001-05-31,2001,05,31
62,2001-06-30,,,,,,,84470.0,71450.0,70014.0,81902.0,98050.0,99897.0,,46107,2001-06-30,2001,06,30
63,2001-07-31,,,,,,,84493.0,71441.0,70007.0,81943.0,98759.0,100870.0,,46107,2001-07-31,2001,07,31
64,2001-08-31,,,,,,,84503.0,71663.0,70341.0,81915.0,98927.0,100803.0,,46107,2001-08-31,2001,08,31
65,2001-09-30,,,,,,,84325.0,71465.0,70680.0,81794.0,99018.0,100760.0,,46107,2001-09-30,2001,09,30
66,2001-10-31,,,,,,,84191.0,71681.0,71461.0,81626.0,99047.0,100118.0,,46107,2001-10-31,2001,10,31
67,2001-11-30,,,,,,,84524.0,72243.0,72382.0,81885.0,99739.0,100317.0,,46107,2001-11-30,2001,11,30
68,2001-12-31,,,,,,,84828.0,72733.0,72698.0,82088.0,100329.0,100807.0,,46107,2001-12-31,2001,12,31
69,2002-01-31,,,,,,,85229.0,73498.0,72771.0,82407.0,100287.0,101102.0,,46107,2002-01-31,2002,01,31
70,2002-02-28,,,,,,,85750.0,73996.0,72589.0,82886.0,100362.0,101555.0,,46107,2002-02-28,2002,02,28
71,2002-03-31,,,,,,,86508.0,74954.0,73108.0,83654.0,100549.0,101801.0,,46107,2002-03-31,2002,03,31
72,2002-04-30,,,,,,,86921.0,74533.0,73010.0,84199.0,101364.0,102522.0,,46107,2002-04-30,2002,04,30
73,2002-05-31,,,,,,,86999.0,74729.0,73287.0,84311.0,101254.0,102188.0,,46107,2002-05-31,2002,05,31
74,2002-06-30,,,,,,,86626.0,74329.0,72756.0,83993.0,100942.0,101636.0,,46107,2002-06-30,2002,06,30
75,2002-07-31,,,,,,,85809.0,73615.0,72046.0,83273.0,99408.0,99236.0,,46107,2002-07-31,2002,07,31
76,2002-08-31,,,,,,,85490.0,72826.0,71564.0,83077.0,98702.0,97984.0,,46107,2002-08-31,2002,08,31
77,2002-09-30,,,,,,,85441.0,72509.0,71604.0,83155.0,98125.0,97074.0,,46107,2002-09-30,2002,09,30
78,2002-10-31,,,,,,,85782.0,72637.0,72146.0,83575.0,98035.0,97385.0,,46107,2002-10-31,2002,10,31
79,2002-11-30,,,,,,,85638.0,72213.0,71847.0,83630.0,97770.0,97284.0,,46107,2002-11-30,2002,11,30
80,2002-12-31,,,,,,,85406.0,71587.0,71274.0,83568.0,97580.0,97226.0,,46107,2002-12-31,2002,12,31
81,2003-01-31,,,,,,,85383.0,71057.0,70611.0,83680.0,97805.0,97197.0,,46107,2003-01-31,2003,01,31
82,2003-02-28,,,,,,,85429.0,71082.0,69990.0,83741.0,97973.0,97255.0,,46107,2003-02-28,2003,02,28
83,2003-03-31,,,,,,,85512.0,71177.0,69708.0,83841.0,98227.0,97190.0,,46107,2003-03-31,2003,03,31
84,2003-04-30,,,,,,,85665.0,71405.0,69728.0,83911.0,98629.0,97433.0,,46107,2003-04-30,2003,04,30
85,2003-05-31,,,,,,,85916.0,71313.0,69905.0,84188.0,99296.0,98173.0,,46107,2003-05-31,2003,05,31
86,2003-06-30,,,,,,,86183.0,71074.0,69759.0,84525.0,100211.0,99270.0,,46107,2003-06-30,2003,06,30
87,2003-07-31,,,,,,,87203.0,71024.0,69672.0,85400.0,101161.0,100716.0,,46107,2003-07-31,2003,07,31
88,2003-08-31,,,,,,,87996.0,70514.0,69372.0,86075.0,101904.0,101533.0,,46107,2003-08-31,2003,08,31
89,2003-09-30,,,,,,,88698.0,70133.0,69372.0,86576.0,102317.0,102018.0,,46107,2003-09-30,2003,09,30
90,2003-10-31,,,,,,,88607.0,69479.0,69038.0,86572.0,102454.0,102270.0,,46107,2003-10-31,2003,10,31
91,2003-11-30,,,,,,,88769.0,69431.0,69120.0,86787.0,102681.0,102774.0,,46107,2003-11-30,2003,11,30
92,2003-12-31,,,,,,,88906.0,69420.0,68914.0,87049.0,102913.0,103170.0,,46107,2003-12-31,2003,12,31
93,2004-01-31,,,,,,,88974.0,68912.0,68698.0,87308.0,103020.0,103074.0,,46107,2004-01-31,2004,01,31
94,2004-02-29,,,,,,,88723.0,67638.0,68022.0,86982.0,102792.0,102070.0,,46107,2004-02-29,2004,02,29
95,2004-03-31,,,,,,,88717.0,66469.0,67719.0,86857.0,102699.0,101521.0,,46107,2004-03-31,2004,03,31
96,2004-04-30,,,,,,,88461.0,66057.0,67404.0,86419.0,102409.0,101049.0,,46107,2004-04-30,2004,04,30
97,2004-05-31,,,,,,,88418.0,65543.0,67442.0,86446.0,102545.0,101499.0,,46107,2004-05-31,2004,05,31
98,2004-06-30,,,,,,,88455.0,65485.0,67558.0,86494.0,102842.0,101902.0,,46107,2004-06-30,2004,06,30
99,2004-07-31,,,,,,,88761.0,65824.0,68008.0,86868.0,103348.0,102583.0,,46107,2004-07-31,2004,07,31
100,2004-08-31,,,,,,,88994.0,66882.0,68700.0,87151.0,103595.0,103200.0,,46107,2004-08-31,2004,08,31
101,2004-09-30,,,,,,,89056.0,67462.0,69117.0,87305.0,103832.0,103821.0,,46107,2004-09-30,2004,09,30
102,2004-10-31,,,,,,,89365.0,67895.0,69670.0,87646.0,104206.0,104289.0,,46107,2004-10-31,2004,10,31
103,2004-11-30,,,,,,,89787.0,68197.0,70199.0,88060.0,104577.0,104515.0,,46107,2004-11-30,2004,11,30
104,2004-12-31,,,,,,,90230.0,68579.0,70785.0,88509.0,104890.0,104611.0,,46107,2004-12-31,2004,12,31
105,2005-01-31,,,,,,,90812.0,69061.0,71937.0,88942.0,105571.0,106076.0,,46107,2005-01-31,2005,01,31
106,2005-02-28,41.81,46.03,,,,,91543.0,69846.0,73323.0,90401.0,106699.0,108782.0,,46107,2005-02-28,2005,02,28
107,2005-03-31,45.91,41.39,,,,,91860.0,70073.0,74108.0,91517.0,107902.0,111665.0,,46107,2005-03-31,2005,03,31
108,2005-04-30,47.99,41.19,,,,,92583.0,69584.0,74507.0,93332.0,108848.0,113459.0,,46107,2005-04-30,2005,04,30
109,2005-05-31,57.48,31.49,,,,,93559.0,69560.0,74814.0,94618.0,109715.0,113992.0,,46107,2005-05-31,2005,05,31
110,2005-06-30,54.55,36.74,,,,,94716.0,69774.0,75763.0,96034.0,110090.0,113739.0,,46107,2005-06-30,2005,06,30
111,2005-07-31,45.81,43.6,,,,,94867.0,70157.0,76505.0,96296.0,110587.0,113732.0,,46107,2005-07-31,2005,07,31
112,2005-08-31,59.52,30.26,,,,,94855.0,70406.0,77151.0,96323.0,111227.0,113649.0,,46107,2005-08-31,2005,08,31
