,Date,Year,Integer_Year,Month,Zip_Code,Zip_Code_Integer,Median Bedroom Price,Median Market Value (Single Family),Median List Price per SqFt Calculated,Median List Price Calculated,No. of Bedrooms
0,1997-02-28,1997,2,2,46220,1,253600.0,127200.0,99.81337907135843,142629.7348615186,5
1,1998-02-28,1998,3,2,46220,1,283400.0,153100.0,70.43238912650914,107461.65114801345,5
2,1999-02-28,1999,4,2,46220,1,292300.0,148500.0,77.74566998461762,116215.4090683936,5
3,2000-02-29,2000,5,2,46220,1,259545.0,155199.0,12.289483131487756,37866.49491884644,5
4,2001-02-28,2001,6,2,46220,1,285211.0,155226.0,28.325004660985822,57060.489559519374,5
5,2002-02-28,2002,7,2,46220,1,276490.0,157899.0,42.385186777593496,73890.06754964664,5
6,2003-02-28,2003,8,2,46220,1,281311.0,162344.0,56.073238211880515,90274.21728794227,5
7,2004-02-29,2004,9,2,46220,1,302616.0,168134.0,65.77704988893946,101889.36238820887,5
8,2005-02-28,2005,10,2,46220,1,323149.0,172839.0,77.53313719956739,115961.01427807029,5
9,2006-02-28,2006,11,2,46220,1,327043.0,171275.0,87.94823208917599,128427.54211288432,5
10,2007-02-28,2007,12,2,46220,1,349596.0,174046.0,92.2225292496066,133543.73597281153,5
11,2008-02-29,2008,13,2,46220,1,350506.0,178801.0,105.77819776473189,149769.42768800937,5
12,2009-02-28,2009,14,2,46220,1,331118.0,170838.0,110.42182489089356,155327.69743364074,5
13,2010-02-28,2010,15,2,46220,1,358230.0,180993.0,118.57707509881399,169900.0,5
14,2011-02-28,2011,16,2,46220,1,335102.0,171245.0,124.289520426288,169900.0,5
15,2012-02-29,2012,17,2,46220,1,328421.0,167811.0,117.760942760943,166900.0,5
16,2013-02-28,2013,18,2,46220,1,350063.0,175773.0,128.022317087733,169900.0,5
17,2014-02-28,2014,19,2,46220,1,386538.0,192810.0,122.64361405465701,164900.0,5
18,2015-02-28,2015,20,2,46220,1,403392.0,193145.0,133.541909024178,183000.0,5
19,2016-02-29,2016,21,2,46220,1,402103.0,197263.0,135.530162104704,196500.0,5
20,2017-02-28,2017,22,2,46220,1,409975.0,207777.0,157.48523519924498,202450.0,5
21,2018-02-28,2018,23,2,46220,1,437098.0,220574.0,179.489291598023,234650.0,5
22,2019-02-28,2019,24,2,46220,1,468170.0,243849.0,179.200940070505,239700.0,5
23,2020-02-29,2020,25,2,46220,1,478611.0,248645.0,206.82544112527543,270719.6720532609,5
0,1997-02-28,1997,2,2,46220,1,170400.0,127200.0,99.81337907135843,142629.7348615186,4
1,1998-02-28,1998,3,2,46220,1,184800.0,153100.0,70.43238912650914,107461.65114801345,4
2,1999-02-28,1999,4,2,46220,1,196700.0,148500.0,77.74566998461762,116215.4090683936,4
3,2000-02-29,2000,5,2,46220,1,214622.0,155199.0,12.289483131487756,37866.49491884644,4
4,2001-02-28,2001,6,2,46220,1,226250.0,155226.0,28.325004660985822,57060.489559519374,4
5,2002-02-28,2002,7,2,46220,1,224661.0,157899.0,42.385186777593496,73890.06754964664,4
6,2003-02-28,2003,8,2,46220,1,227260.0,162344.0,56.073238211880515,90274.21728794227,4
7,2004-02-29,2004,9,2,46220,1,235268.0,168134.0,65.77704988893946,101889.36238820887,4
8,2005-02-28,2005,10,2,46220,1,246979.0,172839.0,77.53313719956739,115961.01427807029,4
9,2006-02-28,2006,11,2,46220,1,245111.0,171275.0,87.94823208917599,128427.54211288432,4
10,2007-02-28,2007,12,2,46220,1,252984.0,174046.0,92.2225292496066,133543.73597281153,4
11,2008-02-29,2008,13,2,46220,1,256329.0,178801.0,105.77819776473189,149769.42768800937,4
12,2009-02-28,2009,14,2,46220,1,245439.0,170838.0,110.42182489089356,155327.69743364074,4
13,2010-02-28,2010,15,2,46220,1,255859.0,180993.0,118.57707509881399,169900.0,4
14,2011-02-28,2011,16,2,46220,1,239331.0,171245.0,124.289520426288,169900.0,4
15,2012-02-29,2012,17,2,46220,1,233343.0,167811.0,117.760942760943,166900.0,4
16,2013-02-28,2013,18,2,46220,1,245519.0,175773.0,128.022317087733,169900.0,4
17,2014-02-28,2014,19,2,46220,1,271547.0,192810.0,122.64361405465701,164900.0,4
18,2015-02-28,2015,20,2,46220,1,280769.0,193145.0,133.541909024178,183000.0,4
19,2016-02-29,2016,21,2,46220,1,286053.0,197263.0,135.530162104704,196500.0,4
20,2017-02-28,2017,22,2,46220,1,294602.0,207777.0,157.48523519924498,202450.0,4
21,2018-02-28,2018,23,2,46220,1,308884.0,220574.0,179.489291598023,234650.0,4
22,2019-02-28,2019,24,2,46220,1,331767.0,243849.0,179.200940070505,239700.0,4
23,2020-02-29,2020,25,2,46220,1,340957.0,248645.0,206.82544112527543,270719.6720532609,4
