,Integer_Year,46214,46219,46220,46227,1 Bedroom,2 Bedroom,3 Bedroom,4 Bedroom,5 Bedroom,April,August,December,February,January,July,June,March,May,November,October,September,Median Bedroom Price
0,25,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,178223.64
1,25,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,220476.75
2,25,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,247851.7
3,25,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,342101.6
4,25,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,474625.5
5,25,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,180600.55
6,25,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,225089.86
7,25,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,253283.27
8,25,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,350499.88
9,25,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,474384.25
10,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,180161.62
11,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,221302.58
12,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,252239.11
13,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,344969.1
14,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,473906.16
15,25,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,186546.05
16,25,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,226713.08
17,25,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,254565.98
18,25,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,346729.06
19,25,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,472533.12
20,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,185658.77
21,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,225793.16
22,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,254961.39
23,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,350144.62
24,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,474878.78
25,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,186634.86
26,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,228830.06
27,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,256707.42
28,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,352741.12
29,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,473304.0
30,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,188207.39
31,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,227881.45
32,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,257392.25
33,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,351859.47
34,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,478395.56
35,25,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,189103.31
36,25,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,231144.77
37,25,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,260436.14
38,25,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,357558.3
39,25,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,479839.38
40,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,188588.02
41,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231569.56
42,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,258177.2
43,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,355123.72
44,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,480493.47
45,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,191881.89
46,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,231181.64
47,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,262607.88
48,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,357827.38
49,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,483643.88
50,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,190596.33
51,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,233197.72
52,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,262752.25
53,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,359636.44
54,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,479908.47
55,25,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,192691.86
56,25,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,234373.89
57,25,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,263605.38
58,25,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,356961.75
59,25,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,482764.25
60,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,77434.76
61,25,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100065.75
62,25,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129066.484
63,25,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,162463.2
64,25,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,190034.64
65,25,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,83216.98
66,25,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103585.086
67,25,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,131940.25
68,25,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,163284.67
69,25,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,191619.3
70,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76316.35
71,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100492.29
72,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,130494.53
73,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,162954.98
74,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,194534.19
75,25,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80658.414
76,25,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104967.04
77,25,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,133903.56
78,25,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,163878.42
79,25,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,194853.58
80,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78310.42
81,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,101079.305
82,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,132551.03
83,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,166046.64
