,Unnamed: 0,Integer_Year,Median List Price per SqFt Calculated,Zip_Code,No. of Bedrooms,Month
120,120,25,98.20838,46214,1,1
60,60,25,93.930176,46219,1,1
0,0,25,192.22183,46220,1,1
180,180,25,109.88803999999999,46227,1,1
121,121,25,95.86224,46214,2,1
61,61,25,93.90527,46219,2,1
1,1,25,192.80588,46220,2,1
181,181,25,107.96831499999999,46227,2,1
122,122,25,95.546234,46214,3,1
62,62,25,94.05659,46219,3,1
2,2,25,193.02794,46220,3,1
182,182,25,108.73642,46227,3,1
123,123,25,100.92509,46214,4,1
63,63,25,93.770996,46219,4,1
3,3,25,193.17318999999998,46220,4,1
183,183,25,111.1295,46227,4,1
124,124,25,96.42536,46214,5,1
64,64,25,94.9772,46219,5,1
4,4,25,192.48813,46220,5,1
184,184,25,113.72783000000001,46227,5,1
125,125,25,96.12155,46214,1,2
65,65,25,98.27163,46219,1,2
5,5,25,189.17715,46220,1,2
185,185,25,113.808815,46227,1,2
126,126,25,94.84788499999999,46214,2,2
66,66,25,99.37216,46219,2,2
6,6,25,186.82596,46220,2,2
186,186,25,113.41633999999999,46227,2,2
127,127,25,90.41555,46214,3,2
67,67,25,99.235275,46219,3,2
7,7,25,188.32564,46220,3,2
187,187,25,110.0319,46227,3,2
128,128,25,96.554886,46214,4,2
68,68,25,98.56506,46219,4,2
8,8,25,187.79916,46220,4,2
188,188,25,109.22881000000001,46227,4,2
129,129,25,95.667175,46214,5,2
69,69,25,100.365875,46219,5,2
9,9,25,190.27246,46220,5,2
189,189,25,109.73936499999999,46227,5,2
130,130,25,95.6494,46214,1,3
70,70,25,104.16139,46219,1,3
10,10,25,190.12726999999998,46220,1,3
190,190,25,112.93318000000001,46227,1,3
131,131,25,96.6935,46214,2,3
71,71,25,102.80965,46219,2,3
11,11,25,190.09933,46220,2,3
191,191,25,114.5667,46227,2,3
132,132,25,97.030716,46214,3,3
72,72,25,105.892395,46219,3,3
12,12,25,191.54688000000002,46220,3,3
192,192,25,113.436066,46227,3,3
133,133,25,96.6949,46214,4,3
73,73,25,101.79879,46219,4,3
13,13,25,192.32202,46220,4,3
193,193,25,114.30257399999999,46227,4,3
134,134,25,98.26267,46214,5,3
74,74,25,108.11186000000001,46219,5,3
14,14,25,190.72383,46220,5,3
194,194,25,116.36701000000001,46227,5,3
135,135,25,98.28073,46214,1,4
75,75,25,104.59361,46219,1,4
15,15,25,188.32663,46220,1,4
195,195,25,109.7395,46227,1,4
136,136,25,93.89373,46214,2,4
76,76,25,100.64833,46219,2,4
16,16,25,187.58176,46220,2,4
196,196,25,110.45653,46227,2,4
137,137,25,98.53665,46214,3,4
77,77,25,108.56298999999999,46219,3,4
17,17,25,187.10907,46220,3,4
197,197,25,113.49255,46227,3,4
138,138,25,105.5043,46214,4,4
78,78,25,106.87863,46219,4,4
18,18,25,189.44803000000002,46220,4,4
198,198,25,111.53406499999998,46227,4,4
139,139,25,96.298805,46214,5,4
79,79,25,107.077896,46219,5,4
19,19,25,193.14073,46220,5,4
199,199,25,113.88634499999999,46227,5,4
140,140,25,97.32834,46214,1,5
80,80,25,101.642296,46219,1,5
20,20,25,182.93419,46220,1,5
200,200,25,107.29976,46227,1,5
141,141,25,96.90343,46214,2,5
81,81,25,102.750336,46219,2,5
21,21,25,189.05649,46220,2,5
201,201,25,111.87101000000001,46227,2,5
142,142,25,107.08655,46214,3,5
82,82,25,114.36341999999999,46219,3,5
22,22,25,189.18875,46220,3,5
202,202,25,115.35276,46227,3,5
143,143,25,100.87385,46214,4,5
83,83,25,105.99375,46219,4,5
23,23,25,190.51282,46220,4,5
203,203,25,112.33283999999999,46227,4,5
144,144,25,98.47814,46214,5,5
84,84,25,106.441925,46219,5,5
24,24,25,187.79428000000001,46220,5,5
204,204,25,111.34,46227,5,5
145,145,25,93.70056,46214,1,6
85,85,25,103.35171,46219,1,6
25,25,25,184.04138,46220,1,6
205,205,25,105.47483000000001,46227,1,6
146,146,25,93.2037,46214,2,6
86,86,25,101.338806,46219,2,6
26,26,25,183.81407,46220,2,6
206,206,25,104.78116,46227,2,6
147,147,25,95.93382,46214,3,6
87,87,25,102.45604,46219,3,6
27,27,25,184.01619,46220,3,6
207,207,25,109.14623999999999,46227,3,6
148,148,25,93.00309,46214,4,6
88,88,25,92.18268,46219,4,6
28,28,25,184.49200000000002,46220,4,6
208,208,25,105.19767,46227,4,6
149,149,25,95.3468,46214,5,6
89,89,25,103.86837,46219,5,6
29,29,25,187.41817,46220,5,6
209,209,25,108.99438500000001,46227,5,6
150,150,25,102.2973,46214,1,7
90,90,25,96.99410999999999,46219,1,7
30,30,25,194.21413,46220,1,7
210,210,25,116.267395,46227,1,7
151,151,25,101.65729,46214,2,7
91,91,25,94.72529,46219,2,7
31,31,25,187.40213,46220,2,7
211,211,25,116.24253,46227,2,7
152,152,25,98.60249,46214,3,7
92,92,25,95.83909,46219,3,7
32,32,25,185.83575,46220,3,7
212,212,25,114.383354,46227,3,7
153,153,25,96.583145,46214,4,7
93,93,25,96.342636,46219,4,7
33,33,25,182.58658,46220,4,7
213,213,25,110.51964,46227,4,7
154,154,25,97.27894599999999,46214,5,7
94,94,25,98.05711,46219,5,7
34,34,25,190.87628,46220,5,7
214,214,25,117.02205,46227,5,7
155,155,25,103.41784,46214,1,8
95,95,25,105.48633600000001,46219,1,8
35,35,25,182.62332,46220,1,8
215,215,25,112.53896999999999,46227,1,8
156,156,25,104.91469,46214,2,8
96,96,25,103.35794,46219,2,8
36,36,25,179.94984,46220,2,8
216,216,25,113.67570500000001,46227,2,8
157,157,25,104.86371000000001,46214,3,8
97,97,25,108.54611000000001,46219,3,8
37,37,25,194.99756000000002,46220,3,8
217,217,25,117.03175,46227,3,8
158,158,25,104.05990600000001,46214,4,8
98,98,25,104.67976,46219,4,8
38,38,25,180.26677,46220,4,8
218,218,25,116.051956,46227,4,8
159,159,25,100.945786,46214,5,8
99,99,25,106.86348000000001,46219,5,8
39,39,25,186.13205,46220,5,8
219,219,25,117.28303500000001,46227,5,8
160,160,25,100.09874,46214,1,9
100,100,25,95.47568000000001,46219,1,9
40,40,25,182.35017,46220,1,9
220,220,25,112.44595,46227,1,9
161,161,25,100.89395999999999,46214,2,9
101,101,25,99.74304000000001,46219,2,9
41,41,25,180.70665,46220,2,9
221,221,25,114.13486,46227,2,9
162,162,25,103.05255,46214,3,9
102,102,25,103.68552,46219,3,9
42,42,25,188.88891999999998,46220,3,9
222,222,25,115.673325,46227,3,9
163,163,25,99.382385,46214,4,9
103,103,25,96.36919,46219,4,9
43,43,25,184.02148,46220,4,9
223,223,25,112.14941999999999,46227,4,9
164,164,25,98.8075,46214,5,9
104,104,25,101.93070999999999,46219,5,9
44,44,25,183.20386000000002,46220,5,9
224,224,25,113.974556,46227,5,9
165,165,25,99.788376,46214,1,10
105,105,25,105.10202,46219,1,10
45,45,25,186.39412,46220,1,10
225,225,25,120.07011000000001,46227,1,10
166,166,25,100.40160999999999,46214,2,10
106,106,25,99.08649399999999,46219,2,10
46,46,25,186.4841,46220,2,10
226,226,25,120.51408400000001,46227,2,10
167,167,25,97.74049000000001,46214,3,10
107,107,25,103.38753,46219,3,10
47,47,25,184.92038,46220,3,10
227,227,25,119.4424,46227,3,10
168,168,25,98.9774,46214,4,10
108,108,25,104.48854,46219,4,10
48,48,25,182.69914,46220,4,10
228,228,25,115.48031599999999,46227,4,10
169,169,25,101.69835,46214,5,10
109,109,25,105.4636,46219,5,10
49,49,25,186.76657,46220,5,10
229,229,25,119.27833000000001,46227,5,10
170,170,25,104.65422,46214,1,11
110,110,25,109.30733000000001,46219,1,11
50,50,25,186.4514,46220,1,11
230,230,25,116.26678000000001,46227,1,11
171,171,25,102.51094,46214,2,11
111,111,25,107.78971999999999,46219,2,11
51,51,25,187.17604,46220,2,11
231,231,25,117.52858,46227,2,11
172,172,25,100.22204599999999,46214,3,11
112,112,25,105.921555,46219,3,11
52,52,25,192.35889,46220,3,11
232,232,25,120.750725,46227,3,11
173,173,25,103.70189,46214,4,11
113,113,25,110.521576,46219,4,11
53,53,25,188.12218000000001,46220,4,11
233,233,25,116.77399,46227,4,11
174,174,25,102.19444,46214,5,11
114,114,25,109.80672,46219,5,11
54,54,25,185.93651,46220,5,11
234,234,25,115.24708600000001,46227,5,11
175,175,25,108.25208,46214,1,12
115,115,25,106.07648,46219,1,12
55,55,25,185.90764,46220,1,12
235,235,25,124.39825400000001,46227,1,12
176,176,25,106.55216999999999,46214,2,12
116,116,25,103.68236,46219,2,12
56,56,25,188.8803,46220,2,12
236,236,25,119.6649,46227,2,12
177,177,25,106.45568,46214,3,12
117,117,25,106.793434,46219,3,12
57,57,25,187.83313,46220,3,12
237,237,25,125.50166000000002,46227,3,12
178,178,25,108.31616000000001,46214,4,12
118,118,25,109.37628000000001,46219,4,12
58,58,25,186.93481,46220,4,12
238,238,25,124.03093,46227,4,12
179,179,25,108.5849,46214,5,12
119,119,25,108.538956,46219,5,12
59,59,25,186.92566000000002,46220,5,12
239,239,25,120.83243999999999,46227,5,12
