,Date,% of Homes Decreasing in Value,% of Homes Increasing in Value,% of Listings with Price Reduction,Median % Reduction,Median List Price,Median List Price per Square Foot,Median Market Value (Single Family),Median Price 1 Bedroom,Median Price 2 Bedroom,Median Price 3 Bedroom,Median Price 4 Bedroom,Median Price 5 Bedroom,Sales per Month,Zip_Code,Month
173,2010-09-30,12.94,77.61,15.2542372881356,4.7664442326025,85000.0,72.8155339805825,87521.0,70780.0,72199.0,89413.0,107964.0,117021.0,12.0,46107,09
174,2010-10-31,14.25,76.32,11.1111111111111,5.8892815076561,85000.0,72.4101479915433,86457.0,69591.0,70947.0,88400.0,106805.0,115350.0,10.0,46107,10
175,2010-11-30,20.77,69.23,11.2781954887218,6.2578222778473,85000.0,72.8155339805825,85663.0,69255.0,70005.0,87689.0,105764.0,113950.0,10.0,46107,11
176,2010-12-31,22.06,68.58,16.0,5.5555555555556,80000.0,72.8125,85064.0,68599.0,69448.0,87099.0,105506.0,113842.0,15.0,46107,12
177,2011-01-31,24.3,66.09,19.1304347826087,8.0,79900.0,72.2088353413655,84684.0,67617.0,69219.0,86715.0,105020.0,113618.0,17.0,46107,01
178,2011-02-28,21.79,69.28,16.2162162162162,7.702194977259199,79450.0,70.3933747412008,83957.0,66635.0,68689.0,85934.0,103562.0,112868.0,9.0,46107,02
179,2011-03-31,13.16,80.02,18.965517241379303,6.675567423231,79450.0,70.2927586729284,83215.0,65900.0,68154.0,85145.0,101983.0,112034.0,10.0,46107,03
180,2011-04-30,11.92,80.27,15.5172413793103,6.4620411568409,79900.0,70.34161490683229,81986.0,65845.0,67458.0,83826.0,100178.0,110731.0,14.0,46107,04
181,2011-05-31,9.95,83.78,19.047619047618998,5.3684210526316,79900.0,70.2927586729284,80389.0,65112.0,66314.0,82214.0,98436.0,109299.0,8.0,46107,05
182,2011-06-30,9.78,83.56,15.596330275229398,3.1795224977042995,79900.0,69.6854188573431,79116.0,65175.0,65553.0,80870.0,96651.0,107303.0,20.0,46107,06
